algo_name,Pretty Name,task,metric,type,value
importance_sampling,Baseline (Importance Sampling),10,GCD,erased,0.008032128514
importance_sampling_large,Forget-then-Finteune (Large),10,GCD,erased,0.3493975904
importance_sampling_large_alternate,Forget-then-Finteune (Alternate),10,GCD,erased,0.3654618474
importance_sampling_large_checkpoint_100,,10,GCD,erased,0.2289156627
importance_sampling_large_checkpoint_1000,,10,GCD,erased,0.3373493976
importance_sampling_large_checkpoint_200,,10,GCD,erased,0.2479674797
importance_sampling_large_checkpoint_300,,10,GCD,erased,0.2226720648
importance_sampling_large_checkpoint_400,,10,GCD,erased,0.3064516129
importance_sampling_large_checkpoint_500,,10,GCD,erased,0.2771084337
importance_sampling_large_checkpoint_600,,10,GCD,erased,0.3212851406
importance_sampling_large_checkpoint_700,,10,GCD,erased,0.313253012
importance_sampling_large_checkpoint_800,,10,GCD,erased,0.3333333333
importance_sampling_large_checkpoint_900,,10,GCD,erased,0.3453815261
importance_sampling_random_all,Forget-then-Finteune (Random),10,GCD,erased,0.2489959839
importance_sampling_similar_all,Forget-then-Finetune (Similar),10,GCD,erased,0.297188755
last_timestep_sampling,Last Timestep,10,GCD,erased,0.012
adaptive_sampling_eta_0.1,Adaptive Sampling,10,GCD,others,0.9366812227
first_timestep,First Timestep,10,GCD,others,0.9321414059
gaussian_sampling_mean_200_std_100,"Gaussian Sampling (µ = 200, σ = 100)",10,GCD,others,0.933522497
gaussian_sampling_mean_200_std_50,"Gaussian Sampling (µ = 200, σ = 50)",10,GCD,others,0.9351175994
gaussian_sampling_mean_300_std_100,"Gaussian Sampling (µ = 300, σ = 100)",10,GCD,others,0.9326298701
gaussian_sampling_mean_300_std_50,"Gaussian Sampling (µ = 300, σ = 50)",10,GCD,others,0.9342334495
importance_sampling,Baseline (Importance Sampling),10,GCD,others,0.9326298701
importance_sampling_large,Forget-then-Finteune (Large),10,GCD,others,0.9361525705
importance_sampling_large_alternate,Forget-then-Finteune (Alternate),10,GCD,others,0.9361525705
importance_sampling_large_checkpoint_100,,10,GCD,others,0.9398682043
importance_sampling_large_checkpoint_1000,,10,GCD,others,0.931307244
importance_sampling_large_checkpoint_200,,10,GCD,others,0.943294702
importance_sampling_large_checkpoint_300,,10,GCD,others,0.9457655403
importance_sampling_large_checkpoint_400,,10,GCD,others,0.9495033113
importance_sampling_large_checkpoint_500,,10,GCD,others,0.9357798165
importance_sampling_large_checkpoint_600,,10,GCD,others,0.9414208558
importance_sampling_large_checkpoint_700,,10,GCD,others,0.9302325581
importance_sampling_large_checkpoint_800,,10,GCD,others,0.935483871
importance_sampling_large_checkpoint_900,,10,GCD,others,0.9323873122
importance_sampling_random_all,Forget-then-Finteune (Random),10,GCD,others,0.9282198523
importance_sampling_similar_all,Forget-then-Finetune (Similar),10,GCD,others,0.9266169154
last_timestep_sampling,Last Timestep,10,GCD,others,0.9374746244
